No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
246,98,11,118611,0.492222459,10.8,2.65,9.1,6.203703704,16.6,1
247,98,12,118612,0.531429789,7.6,2.6,8.8,6.052631579,15.3,0
248,98,13,118613,0.567653953,9.4,2.9,9.3,7.234042553,15.9,0
249,98,14,118614,0.6040912,7.7,2.9,10.3,8.181818182,16.5,1
250,98,15,118615,0.648625613,13.2,2.95,10,7.954545455,15,0
251,98,16,118616,0.698913275,10.4,3,10,7.884615385,14.4,0
252,98,17,118617,0.753036437,15,3,9.8,7.733333333,14.3,0
253,98,18,118618,0.80524185,9.5,3.05,9.8,7.368421053,11,0
254,98,19,118619,0.851907096,12.4,3,9.7,7.096774194,12.5,0
255,98,20,118620,0.898572342,9.5,2.85,9.6,6.421052632,12,0
256,98,21,118621,0.946729171,13.1,2.75,9,6.106870229,11.8,0
